Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-07-06 00:00:00-04:00,780.0,830.0,780.0,800.0,86980,0.0,0.0,0.0
2020-07-07 00:00:00-04:00,830.0,830.0,760.0,790.0,29120,0.0,0.0,0.0
2020-07-08 00:00:00-04:00,790.0,820.0,740.0,740.0,145570,0.0,0.0,0.0
2020-07-09 00:00:00-04:00,740.0,790.0,740.0,790.0,281170,0.0,0.0,0.0
2020-07-10 00:00:00-04:00,790.0,790.0,790.0,790.0,0,0.0,0.0,0.0
2020-07-13 00:00:00-04:00,800.0,800.0,780.0,800.0,225180,0.0,0.0,0.0
2020-07-14 00:00:00-04:00,800.0,800.0,760.0,790.0,6340,0.0,0.0,0.0
2020-07-15 00:00:00-04:00,790.0,840.0,790.0,840.0,705200,0.0,0.0,0.0
2020-07-16 00:00:00-04:00,800.0,840.0,800.0,840.0,17840,0.0,0.0,0.0
2020-07-17 00:00:00-04:00,840.0,840.0,800.0,820.0,65820,0.0,0.0,0.0
2020-07-20 00:00:00-04:00,820.0,820.0,770.0,770.0,95970,0.0,0.0,0.0
2020-07-21 00:00:00-04:00,720.0,790.0,720.0,780.0,51780,0.0,0.0,0.0
2020-07-22 00:00:00-04:00,780.0,780.0,740.0,780.0,20530,0.0,0.0,0.0
2020-07-23 00:00:00-04:00,750.0,770.0,730.0,730.0,65780,0.0,0.0,0.0
2020-07-24 00:00:00-04:00,730.0,730.0,680.0,680.0,138470,0.0,0.0,0.0
2020-07-27 00:00:00-04:00,640.0,680.0,640.0,640.0,95990,0.0,0.0,0.0
2020-07-28 00:00:00-04:00,680.0,680.0,600.0,670.0,101600,0.0,0.0,0.0
2020-07-29 00:00:00-04:00,630.0,660.0,630.0,630.0,106800,0.0,0.0,0.0
2020-07-30 00:00:00-04:00,670.0,670.0,610.0,670.0,3700,0.0,0.0,0.0
2020-07-31 00:00:00-04:00,710.0,710.0,700.0,700.0,2030,0.0,0.0,0.0
2020-08-03 00:00:00-04:00,700.0,740.0,660.0,710.0,41730,0.0,0.0,0.0
2020-08-04 00:00:00-04:00,740.0,750.0,710.0,710.0,20140,0.0,0.0,0.0
2020-08-05 00:00:00-04:00,740.0,740.0,670.0,700.0,36050,0.0,0.0,0.0
2020-08-06 00:00:00-04:00,730.0,730.0,660.0,660.0,53140,0.0,0.0,0.0
2020-08-07 00:00:00-04:00,660.0,700.0,650.0,670.0,43170,0.0,0.0,0.0
2020-08-10 00:00:00-04:00,710.0,710.0,640.0,710.0,425030,0.0,0.0,0.0
2020-08-11 00:00:00-04:00,730.0,740.0,680.0,680.0,6520,0.0,0.0,0.0
2020-08-12 00:00:00-04:00,680.0,720.0,640.0,660.0,28140,0.0,0.0,0.0
2020-08-13 00:00:00-04:00,630.0,670.0,620.0,670.0,120520,0.0,0.0,0.0
2020-08-14 00:00:00-04:00,670.0,670.0,640.0,660.0,49990,0.0,0.0,0.0
2020-08-17 00:00:00-04:00,660.0,660.0,640.0,640.0,26380,0.0,0.0,0.0
2020-08-18 00:00:00-04:00,640.0,670.0,630.0,650.0,153480,0.0,0.0,0.0
2020-08-19 00:00:00-04:00,670.0,670.0,640.0,650.0,232020,0.0,0.0,0.0
2020-08-20 00:00:00-04:00,660.0,660.0,630.0,640.0,350160,0.0,0.0,0.0
2020-08-21 00:00:00-04:00,650.0,650.0,640.0,650.0,13060,0.0,0.0,0.0
2020-08-24 00:00:00-04:00,640.0,660.0,630.0,660.0,140990,0.0,0.0,0.0
2020-08-25 00:00:00-04:00,660.0,660.0,650.0,660.0,118130,0.0,0.0,0.0
2020-08-26 00:00:00-04:00,660.0,660.0,620.0,620.0,159430,0.0,0.0,0.0
2020-08-27 00:00:00-04:00,620.0,650.0,620.0,620.0,173890,0.0,0.0,0.0
2020-08-28 00:00:00-04:00,650.0,650.0,610.0,620.0,66060,0.0,0.0,0.0
2020-08-31 00:00:00-04:00,620.0,640.0,620.0,630.0,95750,0.0,0.0,0.0
2020-09-01 00:00:00-04:00,630.0,630.0,610.0,620.0,75800,0.0,0.0,0.0
