Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-05-27 00:00:00-04:00,25.510000228881836,25.510000228881836,25.510000228881836,25.510000228881836,0,0.0,0.0,0.0
2021-05-28 00:00:00-04:00,26.494400024414062,26.494400024414062,26.494400024414062,26.494400024414062,0,0.0,0.0,0.0
2021-06-01 00:00:00-04:00,26.940000534057617,27.010000228881836,25.739999771118164,25.739999771118164,32565,0.0,0.0,0.0
2021-06-02 00:00:00-04:00,26.049999237060547,26.40999984741211,25.816999435424805,26.388999938964844,23356,0.0,0.0,0.0
2021-06-03 00:00:00-04:00,26.579999923706055,26.920000076293945,25.850000381469727,25.850900650024414,24017,0.0,0.0,0.0
2021-06-04 00:00:00-04:00,26.1299991607666,26.1299991607666,25.725299835205078,25.86750030517578,7536,0.0,0.0,0.0
2021-06-07 00:00:00-04:00,26.010000228881836,27.100000381469727,25.942100524902344,27.085500717163086,53757,0.0,0.0,0.0
2021-06-08 00:00:00-04:00,27.850000381469727,27.850000381469727,26.549999237060547,26.989999771118164,59792,0.0,0.0,0.0
2021-06-09 00:00:00-04:00,27.149999618530273,27.64900016784668,27.114999771118164,27.395000457763672,48636,0.0,0.0,0.0
2021-06-10 00:00:00-04:00,28.190000534057617,28.190000534057617,26.775400161743164,27.43000030517578,11246,0.0,0.0,0.0
2021-06-11 00:00:00-04:00,27.399999618530273,27.700000762939453,27.190000534057617,27.679800033569336,19066,0.0,0.0,0.0
2021-06-14 00:00:00-04:00,27.700000762939453,27.969999313354492,27.299999237060547,27.299999237060547,13593,0.0,0.0,0.0
2021-06-15 00:00:00-04:00,27.700000762939453,27.700000762939453,26.5,26.639999389648438,18179,0.0,0.0,0.0
2021-06-16 00:00:00-04:00,26.989999771118164,26.989999771118164,26.450000762939453,26.71030044555664,16260,0.0,0.0,0.0
2021-06-17 00:00:00-04:00,26.6299991607666,26.920000076293945,26.299999237060547,26.309999465942383,17243,0.0,0.0,0.0
2021-06-18 00:00:00-04:00,26.149999618530273,26.299999237060547,25.61989974975586,25.640499114990234,19330,0.0,0.0,0.0
2021-06-21 00:00:00-04:00,25.729999542236328,25.889999389648438,25.3799991607666,25.50040054321289,9421,0.0,0.0,0.0
2021-06-22 00:00:00-04:00,25.399999618530273,25.559999465942383,25.010000228881836,25.306299209594727,9559,0.0,0.0,0.0
2021-06-23 00:00:00-04:00,25.43000030517578,25.79990005493164,25.43000030517578,25.526899337768555,6174,0.0,0.0,0.0
2021-06-24 00:00:00-04:00,25.479999542236328,26.1299991607666,25.479999542236328,26.126399993896484,7123,0.0,0.0,0.0
2021-06-25 00:00:00-04:00,26.639999389648438,26.639999389648438,26.190000534057617,26.239999771118164,7161,0.0,0.0,0.0
2021-06-28 00:00:00-04:00,26.309999465942383,26.690000534057617,26.050100326538086,26.069599151611328,12173,0.0,0.0,0.0
2021-06-29 00:00:00-04:00,26.040000915527344,26.06999969482422,25.270000457763672,25.309999465942383,18809,0.0,0.0,0.0
2021-06-30 00:00:00-04:00,25.200000762939453,25.200000762939453,24.799999237060547,24.865699768066406,18696,0.0,0.0,0.0
2021-07-01 00:00:00-04:00,25.0,25.275999069213867,25.0,25.03510093688965,3627,0.0,0.0,0.0
2021-07-02 00:00:00-04:00,25.190000534057617,25.190000534057617,24.889999389648438,25.041500091552734,7772,0.0,0.0,0.0
2021-07-06 00:00:00-04:00,25.200000762939453,25.200000762939453,24.280099868774414,24.403200149536133,8372,0.0,0.0,0.0
2021-07-07 00:00:00-04:00,24.520000457763672,24.520000457763672,23.72010040283203,23.895099639892578,8701,0.0,0.0,0.0
2021-07-08 00:00:00-04:00,23.639999389648438,23.69849967956543,23.110000610351562,23.69849967956543,14844,0.0,0.0,0.0
2021-07-09 00:00:00-04:00,24.399999618530273,24.579999923706055,24.29490089416504,24.541200637817383,31966,0.0,0.0,0.0
2021-07-12 00:00:00-04:00,24.6299991607666,25.045000076293945,24.579999923706055,24.989999771118164,7873,0.0,0.0,0.0
2021-07-13 00:00:00-04:00,24.969999313354492,25.140499114990234,24.549999237060547,24.588899612426758,10249,0.0,0.0,0.0
2021-07-14 00:00:00-04:00,24.84000015258789,24.84000015258789,23.739999771118164,23.739999771118164,9875,0.0,0.0,0.0
2021-07-15 00:00:00-04:00,23.46500015258789,23.829999923706055,23.15999984741211,23.35610008239746,6670,0.0,0.0,0.0
2021-07-16 00:00:00-04:00,23.899999618530273,23.899999618530273,22.84000015258789,22.84000015258789,10168,0.0,0.0,0.0
2021-07-19 00:00:00-04:00,22.899999618530273,22.899999618530273,22.0049991607666,22.374300003051758,9844,0.0,0.0,0.0
2021-07-20 00:00:00-04:00,22.469999313354492,22.790000915527344,22.434999465942383,22.767799377441406,3721,0.0,0.0,0.0
2021-07-21 00:00:00-04:00,23.110000610351562,23.305599212646484,22.978200912475586,23.22920036315918,5531,0.0,0.0,0.0
2021-07-22 00:00:00-04:00,23.299999237060547,23.299999237060547,22.954999923706055,23.029300689697266,4288,0.0,0.0,0.0
2021-07-23 00:00:00-04:00,23.15999984741211,23.15999984741211,22.8700008392334,23.006500244140625,6268,0.0,0.0,0.0
2021-07-26 00:00:00-04:00,23.149999618530273,23.280000686645508,22.88330078125,23.022199630737305,11253,0.0,0.0,0.0
2021-07-27 00:00:00-04:00,22.90999984741211,22.90999984741211,22.381099700927734,22.488000869750977,4182,0.0,0.0,0.0
2021-07-28 00:00:00-04:00,22.719999313354492,23.1200008392334,22.600000381469727,23.11440086364746,32047,0.0,0.0,0.0
2021-07-29 00:00:00-04:00,23.219999313354492,23.219999313354492,22.93000030517578,22.940000534057617,7396,0.0,0.0,0.0
2021-07-30 00:00:00-04:00,22.75,22.89389991760254,22.75,22.89389991760254,17111,0.0,0.0,0.0
2021-08-02 00:00:00-04:00,23.1299991607666,23.190000534057617,22.873199462890625,22.873199462890625,4114,0.0,0.0,0.0
2021-08-03 00:00:00-04:00,23.079999923706055,23.079999923706055,22.399999618530273,22.402999877929688,5020,0.0,0.0,0.0
2021-08-04 00:00:00-04:00,22.3700008392334,22.43000030517578,22.0,22.0,5813,0.0,0.0,0.0
2021-08-05 00:00:00-04:00,22.010000228881836,22.18899917602539,21.950000762939453,21.950000762939453,9484,0.0,0.0,0.0
2021-08-06 00:00:00-04:00,22.239999771118164,22.239999771118164,21.729999542236328,21.799999237060547,5375,0.0,0.0,0.0
2021-08-09 00:00:00-04:00,22.149999618530273,22.149999618530273,21.809999465942383,21.84000015258789,13821,0.0,0.0,0.0
2021-08-10 00:00:00-04:00,21.889999389648438,21.889999389648438,21.510099411010742,21.6299991607666,8292,0.0,0.0,0.0
2021-08-11 00:00:00-04:00,21.799999237060547,21.799999237060547,21.20009994506836,21.322200775146484,5589,0.0,0.0,0.0
2021-08-12 00:00:00-04:00,21.3799991607666,21.469999313354492,21.0,21.059999465942383,6874,0.0,0.0,0.0
2021-08-13 00:00:00-04:00,21.049999237060547,21.149999618530273,20.614700317382812,20.614700317382812,5964,0.0,0.0,0.0
2021-08-16 00:00:00-04:00,20.649999618530273,20.649999618530273,20.1299991607666,20.15999984741211,9645,0.0,0.0,0.0
2021-08-17 00:00:00-04:00,20.049999237060547,20.179899215698242,20.0,20.020000457763672,11793,0.0,0.0,0.0
2021-08-18 00:00:00-04:00,20.079999923706055,20.219900131225586,19.799999237060547,20.079999923706055,5735,0.0,0.0,0.0
2021-08-19 00:00:00-04:00,19.690000534057617,19.729999542236328,19.001300811767578,19.109899520874023,9135,0.0,0.0,0.0
2021-08-20 00:00:00-04:00,19.010000228881836,19.33989906311035,19.010000228881836,19.285600662231445,4642,0.0,0.0,0.0
2021-08-23 00:00:00-04:00,20.09000015258789,20.450000762939453,19.690000534057617,20.260000228881836,19639,0.0,0.0,0.0
2021-08-24 00:00:00-04:00,20.510000228881836,20.684200286865234,20.350000381469727,20.679100036621094,7637,0.0,0.0,0.0
2021-08-25 00:00:00-04:00,20.709999084472656,20.709999084472656,20.420900344848633,20.668500900268555,8471,0.0,0.0,0.0
2021-08-26 00:00:00-04:00,20.700000762939453,20.90999984741211,20.40999984741211,20.40999984741211,7294,0.0,0.0,0.0
2021-08-27 00:00:00-04:00,20.420000076293945,20.899999618530273,20.420000076293945,20.719999313354492,6733,0.0,0.0,0.0
2021-08-30 00:00:00-04:00,20.780000686645508,20.889999389648438,20.66010093688965,20.82379913330078,11781,0.0,0.0,0.0
2021-08-31 00:00:00-04:00,20.799999237060547,21.267900466918945,20.799999237060547,21.267900466918945,8466,0.0,0.0,0.0
2021-09-01 00:00:00-04:00,21.399999618530273,21.400699615478516,21.100000381469727,21.100000381469727,4739,0.0,0.0,0.0
2021-09-02 00:00:00-04:00,21.209999084472656,21.260000228881836,21.059999465942383,21.174999237060547,7133,0.0,0.0,0.0
2021-09-03 00:00:00-04:00,21.200000762939453,21.32990074157715,21.152000427246094,21.290000915527344,6193,0.0,0.0,0.0
2021-09-07 00:00:00-04:00,21.90999984741211,21.90999984741211,21.309999465942383,21.56999969482422,14422,0.0,0.0,0.0
2021-09-08 00:00:00-04:00,21.40999984741211,21.40999984741211,20.920000076293945,21.0,73096,0.0,0.0,0.0
2021-09-09 00:00:00-04:00,21.1299991607666,21.239999771118164,21.0,21.0,22824,0.0,0.0,0.0
2021-09-10 00:00:00-04:00,21.149999618530273,21.149999618530273,20.680099487304688,20.864900588989258,5295,0.0,0.0,0.0
2021-09-13 00:00:00-04:00,21.059999465942383,21.059999465942383,20.350000381469727,20.350000381469727,5914,0.0,0.0,0.0
2021-09-14 00:00:00-04:00,20.559999465942383,20.559999465942383,19.690000534057617,19.690000534057617,7084,0.0,0.0,0.0
2021-09-15 00:00:00-04:00,19.770000457763672,20.010000228881836,19.68000030517578,19.979999542236328,6409,0.0,0.0,0.0
2021-09-16 00:00:00-04:00,19.969999313354492,19.993200302124023,19.760099411010742,19.993200302124023,4039,0.0,0.0,0.0
2021-09-17 00:00:00-04:00,19.84000015258789,20.0,19.584999084472656,19.610000610351562,9924,0.0,0.0,0.0
2021-09-20 00:00:00-04:00,20.170000076293945,20.170000076293945,18.41990089416504,18.549999237060547,31327,0.0,0.0,0.0
2021-09-21 00:00:00-04:00,18.719999313354492,18.989999771118164,18.559999465942383,18.974599838256836,7644,0.0,0.0,0.0
2021-09-22 00:00:00-04:00,19.479999542236328,19.479999542236328,19.0,19.126399993896484,10474,0.0,0.0,0.0
2021-09-23 00:00:00-04:00,19.3799991607666,19.59000015258789,19.3799991607666,19.58650016784668,4122,0.0,0.0,0.0
2021-09-24 00:00:00-04:00,19.440000534057617,19.700000762939453,19.260000228881836,19.3031005859375,3122,0.0,0.0,0.0
2021-09-27 00:00:00-04:00,19.43000030517578,19.729999542236328,19.3799991607666,19.66819953918457,4240,0.0,0.0,0.0
2021-09-28 00:00:00-04:00,19.549999237060547,19.549999237060547,19.165000915527344,19.305999755859375,4969,0.0,0.0,0.0
2021-09-29 00:00:00-04:00,19.6299991607666,19.6299991607666,18.805700302124023,18.805700302124023,14905,0.0,0.0,0.0
2021-09-30 00:00:00-04:00,18.854999542236328,18.93000030517578,18.65999984741211,18.926000595092773,6399,0.0,0.0,0.0
2021-10-01 00:00:00-04:00,19.90999984741211,19.90999984741211,18.736400604248047,18.736400604248047,3687,0.0,0.0,0.0
2021-10-04 00:00:00-04:00,18.829999923706055,18.829999923706055,18.109899520874023,18.198699951171875,9084,0.0,0.0,0.0
2021-10-05 00:00:00-04:00,18.1299991607666,18.559999465942383,18.1299991607666,18.416900634765625,6750,0.0,0.0,0.0
2021-10-06 00:00:00-04:00,18.31999969482422,18.31999969482422,17.99049949645996,17.99049949645996,11153,0.0,0.0,0.0
2021-10-07 00:00:00-04:00,18.270000457763672,18.511600494384766,18.270000457763672,18.3533992767334,5542,0.0,0.0,0.0
2021-10-08 00:00:00-04:00,18.40999984741211,18.40999984741211,18.093599319458008,18.105199813842773,1461,0.0,0.0,0.0
2021-10-11 00:00:00-04:00,18.190000534057617,18.190000534057617,18.0,18.0,3877,0.0,0.0,0.0
2021-10-12 00:00:00-04:00,18.15999984741211,18.15999984741211,18.05500030517578,18.059999465942383,2532,0.0,0.0,0.0
2021-10-13 00:00:00-04:00,18.200000762939453,18.200000762939453,17.93000030517578,18.084800720214844,2579,0.0,0.0,0.0
