Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-22 00:00:00+01:00,20.0,23.700000762939453,19.0,23.25,1785005,0.0,0.0
2021-07-23 00:00:00+01:00,23.25,24.200000762939453,22.0,22.5,714953,0.0,0.0
2021-07-26 00:00:00+01:00,22.5,22.899999618530273,22.020000457763672,22.5,102659,0.0,0.0
2021-07-27 00:00:00+01:00,22.5,22.25,22.0,22.5,416940,0.0,0.0
2021-07-28 00:00:00+01:00,22.5,22.75,22.0,22.5,350468,0.0,0.0
2021-07-29 00:00:00+01:00,22.5,22.0,20.0,21.200000762939453,111382,0.0,0.0
2021-07-30 00:00:00+01:00,21.200000762939453,21.0,20.0049991607666,21.200000762939453,26231,0.0,0.0
2021-08-02 00:00:00+01:00,21.200000762939453,20.0049991607666,19.0,20.0,70433,0.0,0.0
2021-08-03 00:00:00+01:00,20.0,20.850000381469727,20.5,20.0,5451,0.0,0.0
2021-08-04 00:00:00+01:00,20.0,21.0,20.850000381469727,20.0,2380,0.0,0.0
2021-08-05 00:00:00+01:00,20.0,20.799999237060547,20.75,20.5,12183,0.0,0.0
2021-08-06 00:00:00+01:00,20.5,20.75,20.75,20.5,1704,0.0,0.0
2021-08-09 00:00:00+01:00,20.5,20.020000457763672,19.0,20.0,40753,0.0,0.0
2021-08-10 00:00:00+01:00,20.0,20.399999618530273,19.0,20.25,217393,0.0,0.0
2021-08-11 00:00:00+01:00,20.25,19.950000762939453,19.950000762939453,20.25,4010,0.0,0.0
2021-08-12 00:00:00+01:00,20.25,20.25,20.25,20.25,0,0.0,0.0
2021-08-13 00:00:00+01:00,20.25,19.90999984741211,19.5,20.25,102012,0.0,0.0
2021-08-16 00:00:00+01:00,20.25,19.90999984741211,18.565000534057617,19.25,121181,0.0,0.0
2021-08-17 00:00:00+01:00,19.25,19.954999923706055,18.850000381469727,19.25,142597,0.0,0.0
2021-08-18 00:00:00+01:00,19.25,19.25,19.25,19.25,0,0.0,0.0
2021-08-19 00:00:00+01:00,19.25,19.799999237060547,18.8799991607666,19.799999237060547,163116,0.0,0.0
2021-08-20 00:00:00+01:00,19.5,21.30500030517578,19.25,20.450000762939453,467022,0.0,0.0
2021-08-23 00:00:00+01:00,21.0,21.200000762939453,20.010000228881836,21.0,27000,0.0,0.0
2021-08-24 00:00:00+01:00,21.0,21.600000381469727,20.040000915527344,21.0,33289,0.0,0.0
2021-08-25 00:00:00+01:00,21.0,21.5,19.996000289916992,20.5,127492,0.0,0.0
2021-08-26 00:00:00+01:00,20.5,20.799999237060547,20.0,20.5,131160,0.0,0.0
2021-08-27 00:00:00+01:00,20.5,20.700000762939453,20.0,21.0,20113,0.0,0.0
2021-08-31 00:00:00+01:00,21.0,21.600000381469727,19.5,20.5,109718,0.0,0.0
2021-09-01 00:00:00+01:00,20.5,20.399999618530273,20.0,20.5,30467,0.0,0.0
2021-09-02 00:00:00+01:00,20.5,20.5,20.399999618530273,20.200000762939453,11639,0.0,0.0
2021-09-03 00:00:00+01:00,20.200000762939453,20.0,20.0,20.200000762939453,100,0.0,0.0
2021-09-06 00:00:00+01:00,20.200000762939453,20.200000762939453,20.200000762939453,20.200000762939453,0,0.0,0.0
2021-09-07 00:00:00+01:00,20.200000762939453,20.152000427246094,20.152000427246094,20.200000762939453,5151,0.0,0.0
2021-09-08 00:00:00+01:00,20.200000762939453,20.152000427246094,20.0,20.200000762939453,30000,0.0,0.0
2021-09-09 00:00:00+01:00,20.200000762939453,20.399999618530273,18.0,18.5,582081,0.0,0.0
2021-09-10 00:00:00+01:00,18.5,18.5,18.0,18.5,159335,0.0,0.0
2021-09-13 00:00:00+01:00,18.100000381469727,18.969999313354492,18.020000457763672,18.5,172583,0.0,0.0
2021-09-14 00:00:00+01:00,18.5,18.0,18.0,18.5,50000,0.0,0.0
2021-09-15 00:00:00+01:00,18.5,18.950000762939453,18.950000762939453,18.5,15187,0.0,0.0
2021-09-16 00:00:00+01:00,18.5,18.950000762939453,18.049999237060547,18.5,150000,0.0,0.0
2021-09-17 00:00:00+01:00,18.5,18.950000762939453,18.950000762939453,18.5,52691,0.0,0.0
2021-09-20 00:00:00+01:00,18.5,18.5,18.5,18.5,0,0.0,0.0
2021-09-21 00:00:00+01:00,18.5,18.88800048828125,18.075000762939453,18.25,35851,0.0,0.0
2021-09-22 00:00:00+01:00,18.5,18.5,18.5,18.5,600,0.0,0.0
2021-09-23 00:00:00+01:00,18.5,18.850000381469727,18.770000457763672,18.5,22763,0.0,0.0
