Metric,Value
exDividendDate,1740614400
payoutRatio,0.22399999
fiveYearAvgDividendYield,2.92
beta,1.06
trailingPE,8.697369
forwardPE,0.0813839
volume,15476073
regularMarketVolume,15476073
averageVolume,43551124
averageVolume10days,31793198
averageDailyVolume10Day,31793198
bid,330.5
ask,330.55
bidSize,0
askSize,0
marketCap,46767403008
fiftyTwoWeekLow,196.44
fiftyTwoWeekHigh,340.35
priceToSalesTrailing12Months,1.8800211
fiftyDayAverage,320.873
twoHundredDayAverage,283.94324
trailingAnnualDividendRate,0.084
trailingAnnualDividendYield,0.00025274558
currency,GBp
tradeable,False
enterpriseValue,73943121920
profitMargins,0.26507
floatShares,13291121560
sharesOutstanding,14150500352
heldPercentInsiders,0.00324
heldPercentInstitutions,0.55159
impliedSharesOutstanding,14328500224
bookValue,4.305
priceToBook,76.7712
lastFiscalYearEnd,1735603200
nextFiscalYearEnd,1767139200
mostRecentQuarter,1743379200
earningsQuarterlyGrowth,0.159
netIncomeToCommon,5630000128
trailingEps,0.38
forwardEps,40.61
lastSplitFactor,4:1
lastSplitDate,1020038400
enterpriseToRevenue,2.972
52WeekChange,0.48840356
SandP52WeekChange,0.12677538
lastDividendValue,0.055
lastDividendDate,1740614400
quoteType,EQUITY
currentPrice,330.5
targetHighPrice,419.99997
targetLowPrice,230.0
targetMeanPrice,353.688
targetMedianPrice,360.0
recommendationMean,1.75
recommendationKey,buy
numberOfAnalystOpinions,16
totalCash,689328029696
totalCashPerShare,48.158
totalDebt,714330013696
totalRevenue,24875999232
revenuePerShare,1.705
returnOnAssets,0.00419
returnOnEquity,0.089829996
grossProfits,24875999232
earningsGrowth,0.259
revenueGrowth,0.097
grossMargins,0.0
ebitdaMargins,0.0
operatingMargins,0.38636002
financialCurrency,GBP
symbol,BARC.L
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
hasPrePostMarketData,False
firstTradeDateMilliseconds,583743600000
corporateActions,[]
regularMarketTime,1751643318
exchange,LSE
messageBoardId,finmb_323899
exchangeTimezoneName,Europe/London
exchangeTimezoneShortName,BST
gmtOffSetMilliseconds,3600000
market,gb_market
esgPopulated,False
regularMarketChangePercent,-0.5566439
regularMarketPrice,330.5
marketState,CLOSED
shortName,BARCLAYS PLC ORD 25P
longName,Barclays PLC
regularMarketChange,-1.8500061
regularMarketDayRange,329.15 - 333.45
fullExchangeName,LSE
averageDailyVolume3Month,43551124
fiftyTwoWeekLowChange,134.06
fiftyTwoWeekLowChangePercent,0.68244755
fiftyTwoWeekRange,196.44 - 340.35
fiftyTwoWeekHighChange,-9.850006
fiftyTwoWeekHighChangePercent,-0.028940814
fiftyTwoWeekChangePercent,48.840355
earningsTimestamp,1753768800
earningsTimestampStart,1753768800
earningsTimestampEnd,1753768800
earningsCallTimestampStart,1746001800
earningsCallTimestampEnd,1746001800
isEarningsDateEstimate,False
epsTrailingTwelveMonths,0.38
epsForward,40.61
epsCurrentYear,0.41281
priceEpsCurrentYear,800.6105
