Metric,Value
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Andrew  Heath', 'age': 60, 'title': 'CEO & Executive Director', 'yearBorn': 1964, 'fiscalYear': 2024, 'totalPay': 1284000, 'exercisedValue': 0, 'unexercisedValue': 2614759}, {'maxAge': 1, 'name': 'Ms. Angela  Noon O.B.E.', 'age': 51, 'title': 'CFO & Executive Director', 'yearBorn': 1973, 'fiscalYear': 2024, 'totalPay': 626000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Kjersti  Wiklund MA, MSc', 'age': 62, 'title': 'Independent Non-Executive Director & Workforce Engagement Director', 'yearBorn': 1962, 'fiscalYear': 2024, 'totalPay': 77000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Derek  Harding', 'age': 51, 'title': 'President of Spectris Scientific Division & Executive Director', 'yearBorn': 1973, 'fiscalYear': 2024, 'totalPay': 912000, 'exercisedValue': 0, 'unexercisedValue': 2036015}, {'maxAge': 1, 'name': 'Ms. Judith  Wettach', 'title': 'Head of Corporate Development', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Andrew  Harvey', 'age': 60, 'title': 'Group Human Resources Director', 'yearBorn': 1964, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Ben  Bryson', 'title': 'President of Spectris Dynamics', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Rebecca Louise Dunn', 'title': 'Head of Corporate Affairs & Company Secretary', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]"
auditRisk,3
boardRisk,2
compensationRisk,1
shareHolderRightsRisk,1
overallRisk,1
governanceEpochDate,1748736000
compensationAsOfEpochDate,1735603200
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,4000.0
open,4000.0
dayLow,3998.0
dayHigh,4028.0
regularMarketPreviousClose,4000.0
regularMarketOpen,4000.0
regularMarketDayLow,3998.0
regularMarketDayHigh,4028.0
dividendRate,0.83
dividendYield,2.17
exDividendDate,1747267200
payoutRatio,0.3483
fiveYearAvgDividendYield,2.36
beta,0.706
trailingPE,17.39394
forwardPE,0.22224683
volume,688734
regularMarketVolume,688734
averageVolume,515631
averageVolume10days,1306528
averageDailyVolume10Day,1306528
bid,4016.0
ask,4018.0
bidSize,0
askSize,0
marketCap,3988009728
fiftyTwoWeekLow,1877.0
fiftyTwoWeekHigh,4036.0
priceToSalesTrailing12Months,3.0707705
fiftyDayAverage,2657.12
twoHundredDayAverage,2581.47
trailingAnnualDividendRate,0.832
trailingAnnualDividendYield,0.000208
currency,GBp
tradeable,False
enterpriseValue,4417483264
profitMargins,0.17987
floatShares,97740668
sharesOutstanding,99253600
heldPercentInsiders,0.03266
heldPercentInstitutions,0.90248
impliedSharesOutstanding,99870800
bookValue,13.974
priceToBook,287.534
lastFiscalYearEnd,1735603200
nextFiscalYearEnd,1767139200
mostRecentQuarter,1735603200
earningsQuarterlyGrowth,-0.436
netIncomeToCommon,233600000
trailingEps,2.31
forwardEps,180.79
lastSplitFactor,2:1
lastSplitDate,772070400
enterpriseToRevenue,3.401
enterpriseToEbitda,24.817
52WeekChange,0.402933
SandP52WeekChange,0.12677538
lastDividendValue,0.566
lastDividendDate,1747267200
quoteType,EQUITY
currentPrice,4018.0
targetHighPrice,3763.0
targetLowPrice,2625.0
targetMeanPrice,3292.7139
targetMedianPrice,3135.0
recommendationMean,1.77778
recommendationKey,buy
numberOfAnalystOpinions,7
totalCash,105700000
totalCashPerShare,1.07
ebitda,178000000
totalDebt,731400000
quickRatio,1.107
currentRatio,1.826
totalRevenue,1298700032
debtToEquity,52.977
revenuePerShare,12.961
returnOnAssets,0.03835
returnOnEquity,0.17296
grossProfits,715900032
freeCashflow,85975000
operatingCashflow,93200000
earningsGrowth,-0.42
revenueGrowth,-0.05
grossMargins,0.55124
ebitdaMargins,0.13706
operatingMargins,0.14499
financialCurrency,GBP
symbol,SXS.L
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
priceEpsCurrentYear,2524.4402
fiftyDayAverageChange,1360.8799
fiftyDayAverageChangePercent,0.51216346
twoHundredDayAverageChange,1436.53
twoHundredDayAverageChangePercent,0.55647755
sourceInterval,15
exchangeDataDelayedBy,15
averageAnalystRating,1.8 - Buy
cryptoTradeable,False
corporateActions,[]
regularMarketTime,1751645629
exchange,LSE
messageBoardId,finmb_128363
exchangeTimezoneName,Europe/London
exchangeTimezoneShortName,BST
gmtOffSetMilliseconds,3600000
market,gb_market
esgPopulated,False
regularMarketChangePercent,0.45
regularMarketPrice,4018.0
hasPrePostMarketData,False
firstTradeDateMilliseconds,596707200000
regularMarketChange,18.0
regularMarketDayRange,3998.0 - 4028.0
fullExchangeName,LSE
averageDailyVolume3Month,515631
fiftyTwoWeekLowChange,2141.0
fiftyTwoWeekLowChangePercent,1.1406499
fiftyTwoWeekRange,1877.0 - 4036.0
fiftyTwoWeekHighChange,-18.0
fiftyTwoWeekHighChangePercent,-0.004459861
fiftyTwoWeekChangePercent,40.2933
earningsTimestamp,1754580600
