Metric,Value
fullExchangeName,LSE
averageDailyVolume3Month,1816451
fiftyTwoWeekLowChange,772.0
fiftyTwoWeekLowChangePercent,0.25319776
fiftyTwoWeekRange,3049.0 - 4021.0
fiftyTwoWeekHighChange,-200.0
fiftyTwoWeekHighChangePercent,-0.04973887
fiftyTwoWeekChangePercent,4.2280436
earningsTimestamp,1747203886
earningsTimestampStart,1747203886
earningsTimestampEnd,1747203886
earningsCallTimestampStart,1747211400
earningsCallTimestampEnd,1747211400
isEarningsDateEstimate,False
epsTrailingTwelveMonths,0.92
epsForward,1.38
epsCurrentYear,1.74202
priceEpsCurrentYear,2193.4307
longName,Experian plc
trailingPegRatio,2.1606
