Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-06-11 00:00:00+01:00,360.0,399.0,351.1000061035156,385.0,1872112,0.0,0.0
2024-06-12 00:00:00+01:00,393.0,420.0,393.0,400.0,768952,0.0,0.0
2024-06-13 00:00:00+01:00,412.5,418.0,402.79998779296875,412.0,709858,0.0,0.0
2024-06-14 00:00:00+01:00,420.0,500.0,415.0,420.0,3307354,0.0,0.0
2024-06-17 00:00:00+01:00,438.0,463.0,415.0,440.0,1409457,0.0,0.0
2024-06-18 00:00:00+01:00,449.0,465.0,422.04998779296875,425.0,628125,0.0,0.0
2024-06-19 00:00:00+01:00,435.0,438.5,400.0,415.0,764304,0.0,0.0
2024-06-20 00:00:00+01:00,415.0,418.07000732421875,370.0,372.0,1531175,0.0,0.0
2024-06-21 00:00:00+01:00,375.0,389.5,362.0,373.5,489190,0.0,0.0
2024-06-24 00:00:00+01:00,384.0,400.0,361.25,390.0,951869,0.0,0.0
2024-06-25 00:00:00+01:00,399.5,415.5,385.0,401.0,1156126,0.0,0.0
2024-06-26 00:00:00+01:00,406.0,409.0,390.5,395.0,306355,0.0,0.0
2024-06-27 00:00:00+01:00,402.0,412.0,399.0,402.0,1363278,0.0,0.0
2024-06-28 00:00:00+01:00,415.0,418.5,400.0,400.5,324829,0.0,0.0
2024-07-01 00:00:00+01:00,418.0,418.0,386.57501220703125,395.0,256531,0.0,0.0
2024-07-02 00:00:00+01:00,414.0,414.0,395.5,404.0,212515,0.0,0.0
2024-07-03 00:00:00+01:00,410.0,413.0,400.0,410.5,306106,0.0,0.0
2024-07-04 00:00:00+01:00,416.5,425.0,411.0,420.0,292822,0.0,0.0
2024-07-05 00:00:00+01:00,423.5,424.5,404.5,424.0,302993,0.0,0.0
2024-07-08 00:00:00+01:00,419.0,424.5,411.0,412.0,196117,0.0,0.0
2024-07-09 00:00:00+01:00,422.0,422.0,407.0,407.5,163612,0.0,0.0
2024-07-10 00:00:00+01:00,419.0,419.0,402.5,405.0,114571,0.0,0.0
2024-07-11 00:00:00+01:00,419.0,419.0,400.0,400.5,191253,0.0,0.0
2024-07-12 00:00:00+01:00,410.0,410.0,385.0,400.0,413824,0.0,0.0
2024-07-15 00:00:00+01:00,403.0,403.0,393.0,394.5,202558,0.0,0.0
2024-07-16 00:00:00+01:00,387.5,398.0,380.1839904785156,395.5,440656,0.0,0.0
2024-07-17 00:00:00+01:00,398.0,398.5,380.0,380.0,241371,0.0,0.0
2024-07-18 00:00:00+01:00,381.5,388.0,376.0,380.0,201223,0.0,0.0
2024-07-19 00:00:00+01:00,382.0,384.0,376.0,378.0,75523,0.0,0.0
2024-07-22 00:00:00+01:00,382.5,386.5,379.0,384.0,292121,0.0,0.0
2024-07-23 00:00:00+01:00,390.0,400.0,384.0,400.0,454928,0.0,0.0
2024-07-24 00:00:00+01:00,403.0,410.0,395.5,400.0,364502,0.0,0.0
2024-07-25 00:00:00+01:00,408.0,410.0,381.5,381.5,451970,0.0,0.0
2024-07-26 00:00:00+01:00,395.0,400.0,385.0,393.0,947549,0.0,0.0
2024-07-29 00:00:00+01:00,408.0,408.0,388.0,388.0,234915,0.0,0.0
2024-07-30 00:00:00+01:00,400.0,407.79998779296875,384.79998779296875,384.79998779296875,231667,0.0,0.0
2024-07-31 00:00:00+01:00,399.79998779296875,399.79998779296875,375.0,378.0,350010,0.0,0.0
2024-08-01 00:00:00+01:00,385.0,388.0,372.0,372.0,241790,0.0,0.0
