Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-06 00:00:00+01:00,13.0,12.539999961853027,12.539999961853027,12.5,15997,0.0,0.0
2020-07-07 00:00:00+01:00,12.5,12.600000381469727,11.449999809265137,12.0,59032,0.0,0.0
2020-07-08 00:00:00+01:00,12.0,12.960000038146973,12.800000190734863,12.0,10293,0.0,0.0
2020-07-09 00:00:00+01:00,12.0,12.0,12.0,12.0,0,0.0,0.0
2020-07-10 00:00:00+01:00,12.0,12.899999618530273,12.899999618530273,12.5,15457,0.0,0.0
2020-07-13 00:00:00+01:00,12.5,12.5,12.5,12.5,0,0.0,0.0
2020-07-14 00:00:00+01:00,12.5,12.5,11.0,12.5,466000,0.0,0.0
2020-07-15 00:00:00+01:00,12.5,13.9399995803833,13.399999618530273,12.5,17581,0.0,0.0
2020-07-16 00:00:00+01:00,12.5,12.5,12.5,12.5,0,0.0,0.0
2020-07-17 00:00:00+01:00,12.5,11.8100004196167,11.8100004196167,12.5,12500,0.0,0.0
2020-07-20 00:00:00+01:00,12.5,14.0,11.0,12.5,69239,0.0,0.0
2020-07-21 00:00:00+01:00,12.5,13.9399995803833,13.9399995803833,12.5,1435,0.0,0.0
2020-07-22 00:00:00+01:00,12.5,12.5,12.5,12.5,0,0.0,0.0
2020-07-23 00:00:00+01:00,12.5,12.100000381469727,12.100000381469727,12.5,10000,0.0,0.0
2020-07-24 00:00:00+01:00,12.5,11.800000190734863,11.800000190734863,12.5,2581,0.0,0.0
2020-07-27 00:00:00+01:00,12.5,12.5,12.5,12.5,0,0.0,0.0
2020-07-28 00:00:00+01:00,12.5,14.0,13.9399995803833,12.75,4524,0.0,0.0
2020-07-29 00:00:00+01:00,12.75,12.75,12.75,12.75,0,0.0,0.0
2020-07-30 00:00:00+01:00,12.75,15.510000228881836,14.0,15.0,131816,0.0,0.0
2020-07-31 00:00:00+01:00,15.0,17.940000534057617,15.5,16.5,145699,0.0,0.0
2020-08-03 00:00:00+01:00,16.5,17.940000534057617,14.0,16.0,120276,0.0,0.0
2020-08-04 00:00:00+01:00,16.0,16.0,14.5,14.5,315836,0.0,0.0
2020-08-05 00:00:00+01:00,14.5,16.0,14.0,15.0,492756,0.0,0.0
2020-08-06 00:00:00+01:00,14.5,16.0,13.75,15.0,307241,0.0,0.0
2020-08-07 00:00:00+01:00,15.0,17.0,14.0,15.25,445123,0.0,0.0
2020-08-10 00:00:00+01:00,15.5,19.0,15.199999809265137,18.0,215472,0.0,0.0
2020-08-11 00:00:00+01:00,20.5,23.010000228881836,20.100000381469727,21.700000762939453,1007611,0.0,0.0
2020-08-12 00:00:00+01:00,21.700000762939453,22.399999618530273,21.700000762939453,22.0,174684,0.0,0.0
2020-08-13 00:00:00+01:00,22.0,22.3700008392334,21.600000381469727,22.0,359153,0.0,0.0
