Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-06 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-07-07 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-07-08 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-07-09 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-07-10 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-07-13 00:00:00+01:00,0.75,0.699999988079071,0.699999988079071,0.75,401,0.0,0.0
2020-07-14 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-07-15 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-07-16 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-07-17 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-07-20 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-07-21 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-07-22 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-07-23 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-07-24 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-07-27 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-07-28 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-07-29 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-07-30 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-07-31 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-08-03 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-08-04 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-08-05 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-08-06 00:00:00+01:00,0.75,0.800000011920929,0.699999988079071,0.75,199,0.0,0.0
2020-08-07 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-08-10 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-08-11 00:00:00+01:00,0.75,0.699999988079071,0.699999988079071,0.75,75,0.0,0.0
2020-08-12 00:00:00+01:00,0.75,0.75,0.75,0.75,0,0.0,0.0
2020-08-13 00:00:00+01:00,0.75,0.699999988079071,0.699999988079071,0.7099999785423279,889,0.0,0.0
2020-08-14 00:00:00+01:00,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.7099999785423279,0,0.0,0.0
2020-08-17 00:00:00+01:00,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.7099999785423279,0,0.0,0.0
2020-08-18 00:00:00+01:00,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.7099999785423279,0,0.0,0.0
2020-08-19 00:00:00+01:00,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.7099999785423279,0,0.0,0.0
2020-08-20 00:00:00+01:00,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.7099999785423279,0,0.0,0.0
